Category,Sub-category,Model Name,Model ID,Min Days,Max Days,Rate,Period
Aerial Work Platforms,Personnel Lifts,Genie AWP-25S,genie-awp-25s,8,14,"1,600.00",Weekly
Aerial Work Platforms,Personnel Lifts,Genie AWP-25S,genie-awp-25s,15,999,"2,300.00",Monthly
Aerial Work Platforms,Personnel Lifts,JLG 20AM,jlg-20am,1,7,200.00,Daily
Aerial Work Platforms,Personnel Lifts,JLG 20AM,jlg-20am,8,14,"1,200.00",Weekly
Aerial Work Platforms,Personnel Lifts,JLG 20AM,jlg-20am,15,999,"2,500.00",Monthly
Aerial Work Platforms,Personnel Lifts,Genie AWP-20S,genie-awp-20s,1,7,200.00,Daily
Aerial Work Platforms,Personnel Lifts,Genie AWP-20S,genie-awp-20s,8,14,"1,200.00",Weekly
Aerial Work Platforms,Personnel Lifts,Genie AWP-20S,genie-awp-20s,15,999,"2,500.00",Monthly
Aerial Work Platforms,Personnel Lifts,JLG 15MSP,jlg-15msp,1,7,200.00,Daily
Aerial Work Platforms,Personnel Lifts,JLG 15MSP,jlg-15msp,8,14,"1,200.00",Weekly
Aerial Work Platforms,Personnel Lifts,JLG 15MSP,jlg-15msp,15,999,"2,500.00",Monthly
Aerial Work Platforms,Material Lifts,Genie SLC-24,genie-slc-24,1,7,160.00,Daily
Aerial Work Platforms,Material Lifts,Genie SLC-24,genie-slc-24,8,14,960.00,Weekly
Aerial Work Platforms,Material Lifts,Genie SLC-24,genie-slc-24,15,999,"2,000.00",Monthly
Aerial Work Platforms,Material Lifts,Genie SLC-18,genie-slc-18,1,7,128.00,Daily
Aerial Work Platforms,Material Lifts,Genie SLC-18,genie-slc-18,8,14,768.00,Weekly
Aerial Work Platforms,Material Lifts,Genie SLC-18,genie-slc-18,15,999,"1,600.00",Monthly
Aerial Work Platforms,Material Lifts,Genie GL-12,genie-gl-12,1,7,102.00,Daily
Aerial Work Platforms,Material Lifts,Genie GL-12,genie-gl-12,8,14,614.00,Weekly
Aerial Work Platforms,Material Lifts,Genie GL-12,genie-gl-12,15,999,"1,280.00",Monthly
Aerial Work Platforms,Material Lifts,Genie GL-8,genie-gl-8,1,7,81.00,Daily
Aerial Work Platforms,Material Lifts,Genie GL-8,genie-gl-8,8,14,491.00,Weekly
Aerial Work Platforms,Material Lifts,Genie GL-8,genie-gl-8,15,999,"1,024.00",Monthly
Aerial Work Platforms,Material Lifts,Genie GL-4,genie-gl-4,1,7,65.00,Daily
Aerial Work Platforms,Material Lifts,Genie GL-4,genie-gl-4,8,14,393.00,Weekly
Aerial Work Platforms,Material Lifts,Genie GL-4,genie-gl-4,15,999,819.00,Monthly
Aerial Work Platforms,Material Lifts,Genie GL-10,genie-gl-10,1,7,52.00,Daily
Aerial Work Platforms,Material Lifts,Genie GL-10,genie-gl-10,8,14,314.00,Weekly
Aerial Work Platforms,Material Lifts,Genie GL-10,genie-gl-10,15,999,655.00,Monthly
